id,domain,question,a,b,c,d,correct,explanation,reference
Q265,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix scope and sacrifice quality,Say Agile won’t work,Ignore stakeholders,Fix time and cost; flex scope within MVP and priorities,D,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q266,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Emails sent,Number of meetings,Hours spent,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q267,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Stop the sprint,Ignore the PO,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q268,Agile,Velocity fluctuates widely. Best response?,Re‑estimate completed stories,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Increase WIP,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q269,Agile,Who owns and orders the product backlog?,Scrum Master,Developers,Project Manager,Product Owner,D,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q270,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Say Agile won’t work,Fix time and cost; flex scope within MVP and priorities,Ignore stakeholders,Fix scope and sacrifice quality,B,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q271,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Emails sent,Hours spent,Number of meetings,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q272,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Stop the sprint,Move changes to backlog and plan next sprint,Ignore the PO,C,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q273,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Increase WIP,Commit to a fixed velocity,Re‑estimate completed stories,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q274,Agile,Who owns and orders the product backlog?,Project Manager,Scrum Master,Product Owner,Developers,C,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q275,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Say Agile won’t work,Ignore stakeholders,Fix scope and sacrifice quality,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q276,Agile,Best indicator of progress in Agile delivery?,Hours spent,Emails sent,Number of meetings,"Working, tested increments",D,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q277,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Ignore the PO,Stop the sprint,Accept any small change,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q278,Agile,Velocity fluctuates widely. Best response?,Re‑estimate completed stories,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Increase WIP,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q279,Agile,Who owns and orders the product backlog?,Scrum Master,Project Manager,Developers,Product Owner,D,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q280,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Say Agile won’t work,Ignore stakeholders,Fix scope and sacrifice quality,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q281,Agile,Best indicator of progress in Agile delivery?,Hours spent,Emails sent,Number of meetings,"Working, tested increments",D,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q282,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Move changes to backlog and plan next sprint,Stop the sprint,Ignore the PO,B,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q283,Agile,Velocity fluctuates widely. Best response?,Re‑estimate completed stories,Increase WIP,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,C,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q284,Agile,Who owns and orders the product backlog?,Scrum Master,Project Manager,Developers,Product Owner,D,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q285,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix scope and sacrifice quality,Ignore stakeholders,Fix time and cost; flex scope within MVP and priorities,Say Agile won’t work,C,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q286,Agile,Best indicator of progress in Agile delivery?,Emails sent,Hours spent,"Working, tested increments",Number of meetings,C,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q287,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Ignore the PO,Move changes to backlog and plan next sprint,Stop the sprint,C,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q288,Agile,Velocity fluctuates widely. Best response?,Commit to a fixed velocity,Inspect variability in retrospective and remove impediments,Re‑estimate completed stories,Increase WIP,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q289,Agile,Who owns and orders the product backlog?,Product Owner,Developers,Project Manager,Scrum Master,A,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q290,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Say Agile won’t work,Fix scope and sacrifice quality,Ignore stakeholders,Fix time and cost; flex scope within MVP and priorities,D,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q291,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Emails sent,Hours spent,Number of meetings,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q292,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Ignore the PO,Accept any small change,Move changes to backlog and plan next sprint,Stop the sprint,C,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q293,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Increase WIP,Re‑estimate completed stories,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q294,Agile,Who owns and orders the product backlog?,Developers,Product Owner,Scrum Master,Project Manager,B,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q295,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix scope and sacrifice quality,Ignore stakeholders,Fix time and cost; flex scope within MVP and priorities,Say Agile won’t work,C,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q296,Agile,Best indicator of progress in Agile delivery?,Hours spent,Emails sent,Number of meetings,"Working, tested increments",D,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q297,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Ignore the PO,Stop the sprint,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q298,Agile,Velocity fluctuates widely. Best response?,Re‑estimate completed stories,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Increase WIP,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q299,Agile,Who owns and orders the product backlog?,Product Owner,Scrum Master,Project Manager,Developers,A,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q300,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix scope and sacrifice quality,Ignore stakeholders,Say Agile won’t work,Fix time and cost; flex scope within MVP and priorities,D,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
